type,countryName,countryCode,mcc,mnc,brand,operator,status,bands,notes
National,Abkhazia,GE-AB,289,67,Aquafon,Aquafon JSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,MCC is not listed by ITU; LTE band 20
National,Abkhazia,GE-AB,289,88,A-Mobile,A-Mobile LLSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,MCC is not listed by ITU
National,Albania,AL,276,01,Telekom.al,Telekom Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Albania,AL,276,02,Vodafone,Vodafone Albania,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Albania,AL,276,03,Eagle Mobile,Albtelecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,
National,Albania,AL,276,04,Plus Communication,Plus Communication,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Andorra,AD,213,03,Mobiland,Servei De Tele. DAndorra,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800,LTE band 20
National,Armenia,AM,283,01,Beeline,Veon Armenia CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 450 / LTE 1800,
National,Armenia,AM,283,04,Karabakh Telecom,Karabakh Telecom,Operational,GSM 900 / UMTS 900,
National,Armenia,AM,283,05,VivaCell-MTS,K Telecom CJSC,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 2600,
National,Armenia,AM,283,10,Ucom,Ucom LLC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former Orange
National,Austria,AT,232,01,A1.net,A1 Telekom Austria,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,former A1 / Mobilkom / PTA
National,Austria,AT,232,02,,A1 Telekom Austria,Reserved,,
National,Austria,AT,232,03,Magenta,T-Mobile Austria GmbH,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,"former Max.Mobil, T-Mobile; national roaming agreement with 232-10: uses Hutchison Drei UMTS where no own coverage"
National,Austria,AT,232,04,Magenta,T-Mobile Austria GmbH,Unknown,Unknown,former T-Mobile
National,Austria,AT,232,05,3,Hutchison Drei Austria,Operational,GSM 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,owned by Hutchison Drei Austria / former Orange Austria / One / Connect; GSM 900 / LTE 900 rarely used
National,Austria,AT,232,06,Orange AT,Orange Austria GmbH,Not operational,Unknown,MNC withdrawn
National,Austria,AT,232,07,tele.ring,T-Mobile Austria,Operational,MVNO,brand of T-Mobile Austria
National,Austria,AT,232,08,Lycamobile,Lycamobile Austria,Operational,MVNO,
National,Austria,AT,232,09,Tele2Mobil,A1 Telekom Austria,Operational,MVNO,"division bought from Tele2 by A1 Telekom Austria; customers ""moved"" to bob (232-11)"
National,Austria,AT,232,10,3,Hutchison Drei Austria,Operational,UMTS 2100 / LTE 1800 / LTE 2100 / LTE 2600 / 5G 3500,national roaming agreement with 232-03: uses T-Mobile GSM where no own coverage
National,Austria,AT,232,11,bob,A1 Telekom Austria,Operational,MVNO,brand of A1 Telekom Austria
National,Austria,AT,232,12,yesss!,A1 Telekom Austria,Operational,MVNO,owned by A1 Telekom Austria / one-way national roaming agreement with 232-05
National,Austria,AT,232,13,Magenta,T-Mobile Austria GmbH,Operational,MVNO,Former UPC Austria
National,Austria,AT,232,14,,Hutchison Drei Austria,Reserved,Unknown,
National,Austria,AT,232,15,Vectone Mobile,Mundio Mobile Austria,Operational,MVNO,"former Barablu Mobile Austria, uses A1"
National,Austria,AT,232,16,,Hutchison Drei Austria,Reserved,Unknown,
National,Austria,AT,232,17,,MASS Response Service GmbH,Unknown,Unknown,
National,Austria,AT,232,18,,smartspace GmbH,Unknown,MVNO,
National,Austria,AT,232,19,,Hutchison Drei Austria,Unknown,Unknown,Former Tele2 Telecommunication GmbH
National,Austria,AT,232,20,m:tel,MTEL Austrija GmbH,Operational,MVNO,
National,Austria,AT,232,21,,"Salzburg AG für Energie, Verkehr und Telekommunikation",Unknown,Unknown,
National,Austria,AT,232,22,,Plintron Austria Limited,Unknown,MVNO,
National,Austria,AT,232,23,Magenta,T-Mobile Austria GmbH,Not operational,Unknown,former T-Mobile; MNC withdrawn
National,Austria,AT,232,24,,Smartel Services GmbH,Unknown,Unknown,
National,Austria,AT,232,25,,Holding Graz Kommunale Dienstleistungen GmbH,Unknown,Unknown,
National,Austria,AT,232,91,GSM-R A,ÖBB,Operational,GSM-R,railways communication
National,Austria,AT,232,92,ArgoNET,ArgoNET GmbH,Operational,CDMA450 / LTE450,machine to machine communication for critical infrastructure
National,Belarus,BY,257,01,A1,A1 Belarus,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Former velcom; LTE via beCloud
National,Belarus,BY,257,02,MTS,Mobile TeleSystems,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,LTE via beCloud
National,Belarus,BY,257,03,DIALLOG,BelCel,Not operational,CDMA 450,Closed on 21 January 2014
National,Belarus,BY,257,04,life:),Belarusian Telecommunications Network,Operational,GSM 900 / GSM 1800 / UMTS 2100,Former BeST; LTE via beCloud
National,Belarus,BY,257,05,byfly,Beltelecom,Not operational,WiMAX 3500,Closed on 1 May 2017
National,Belarus,BY,257,06,beCloud,Belorussian Cloud Technologies,Operational,LTE 1800 / LTE 2600,"Former Yota Bel; wholesale network used by MTS, life:), and A1"
National,Belgium,BE,206,00,Proximus,Belgacom Mobile,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,01,Proximus,Belgacom Mobile,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,
National,Belgium,BE,206,02,,Infrabel,Operational,GSM-R,
National,Belgium,BE,206,03,,Citymesh NV,Operational,LTE 3500,private network
National,Belgium,BE,206,05,Telenet,Telenet,Operational,MVNO,Using Base's Network
National,Belgium,BE,206,06,Lycamobile,Lycamobile sprl,Operational,MVNO,
National,Belgium,BE,206,07,Vectone Mobile,Mundio Mobile Belgium nv,Reserved,MVNO,
National,Belgium,BE,206,08,VOO,Nethys,Operational,MVNO,
National,Belgium,BE,206,09,Voxbone,Voxbone mobile,Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,10,Orange Belgium,Orange S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Mobistar
National,Belgium,BE,206,15,,Elephant Talk Communications Schweiz GmbH,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,16,,NextGen Mobile Ltd.,Not operational,Unknown,MNC withdrawn
National,Belgium,BE,206,20,Base,Telenet,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,
National,Belgium,BE,206,25,,Dense Air Belgium SPRL,Unknown,TD-LTE 2600,Former Voyacom
National,Belgium,BE,206,28,,BICS,Unknown,Unknown,
National,Belgium,BE,206,30,Mobile Vikings,Unleashed NV,Operational,MVNO,Uses Orange network
National,Belgium,BE,206,33,,Ericsson NV,Not operational,Unknown,Test network
National,Belgium,BE,206,40,JOIN,JOIN Experience (Belgium),Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,50,,IP Nexia,Not operational,MVNO,MNC withdrawn
National,Belgium,BE,206,71,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,72,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,73,,iSea NV,Not operational,Unknown,
National,Belgium,BE,206,74,,iSea NV,Not operational,Unknown,
National,Bosnia and Herzegovina,BA,218,03,HT-ERONET,Public Enterprise Croatian Telecom Ltd.,Operational,GSM 900 / GSM 1800 / UMTS 2100,
National,Bosnia and Herzegovina,BA,218,05,m:tel BiH,RS Telecommunications JSC Banja Luka,Operational,GSM 900 / GSM 1800 / UMTS 2100,"GSM-MS1, Mobilna Srpske, Mobi's"
National,Bosnia and Herzegovina,BA,218,90,BH Mobile,BH Telecom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE,
National,Bulgaria,BG,284,01,A1,A1 Bulgaria,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,"Former Citron, Mobiltel, M-Tel"
National,Bulgaria,BG,284,03,Vivacom,BTC,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,Former Vivatel
National,Bulgaria,BG,284,05,Telenor,Telenor (Bulgaria),Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2100,Former Globul
National,Bulgaria,BG,284,07,НКЖИ,НАЦИОНАЛНА КОМПАНИЯ ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА,Operational,GSM-R,(The Bulgarian) National Railway Infrastructure Company
National,Bulgaria,BG,284,09,,COMPATEL LIMITED,Not operational,Unknown,MNC withdrawn
National,Bulgaria,BG,284,11,,Bulsatcom,Operational,LTE 1800,
National,Bulgaria,BG,284,13,Ти.ком,Ti.com JSC,Operational,LTE 1800,Former Max Telecom
National,Croatia,HR,219,01,T-Mobile,T-Hrvatski Telekom,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,
National,Croatia,HR,219,02,Tele2,Tele2,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Croatia,HR,219,10,A1,A1 Hrvatska,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800,Former Vipnet
National,Croatia,HR,219,12,,TELE FOCUS d.o.o.,Unknown,MVNO,
National,Cyprus,CY,280,01,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,
National,Cyprus,CY,280,02,Cytamobile-Vodafone,Cyprus Telecommunications Authority,Unknown,Unknown,
National,Cyprus,CY,280,10,Epic,Monaco Telecom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former MTN
National,Cyprus,CY,280,20,PrimeTel,PrimeTel PLC,Operational,UMTS 2100 / LTE 900 / LTE 1800,"Originally MVNO, MNO since 2015. Uses Epic for 2G/3G roaming."
National,Cyprus,CY,280,22,lemontel,Lemontel Ltd,Operational,MVNO,
National,Cyprus,CY,280,23,Vectone Mobile,Mundio Mobile Cyprus Ltd.,Not operational,MVNO,MNC withdrawn
National,Czech Republic,CZ,230,01,T-Mobile,T-Mobile Czech Republic,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600,former Paegas
National,Czech Republic,CZ,230,02,O2,O2 Czech Republic,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,former Eurotel; CDMA 450 shut down June 2019
National,Czech Republic,CZ,230,03,Vodafone,Vodafone Czech Republic,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2100 / LTE 2600,former Oskar
National,Czech Republic,CZ,230,04,,Nordic Telecom s.r.o.,Operational,MVNO / LTE 410,"former U:fon, Air Telecom; CDMA 410 MHz shut down Dec 2017; LTE 410 for public safety services"
National,Czech Republic,CZ,230,05,,PODA a.s.,Unknown,TD-LTE 3700,Former TRAVEL TELEKOMMUNIKATION
National,Czech Republic,CZ,230,06,,Nordic Telecom 5G a.s.,Operational,TD-LTE 3700,Former OSNO TELECOMUNICATION
National,Czech Republic,CZ,230,07,,"ASTELNET, s.r.o.",Not operational,MVNO,MNC withdrawn
National,Czech Republic,CZ,230,08,,Compatel s.r.o.,Unknown,Unknown,
National,Czech Republic,CZ,230,09,Vectone Mobile,Mundio Distribution Czech Republic s.r.o.,Not operational,MVNO,MNC withdrawn
National,Czech Republic,CZ,230,98,,"Správa železniční dopravní cesty, s.o.",Operational,GSM-R 900,railways communication
National,Czech Republic,CZ,230,99,Vodafone,Vodafone Czech Republic,Not operational,GSM 1800,"R&D Centre at FEE, CTU (educational, experimental); licence expired Jul 2012"
National,Denmark (Kingdom of Denmark),DK,238,01,TDC,TDC A/S,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,
National,Denmark (Kingdom of Denmark),DK,238,02,Telenor,Telenor Denmark,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former Sonofon
National,Denmark (Kingdom of Denmark),DK,238,03,,Syniverse Technologies,Unknown,Unknown,Former End2End / MIGway A/S / MACH Connectivity
National,Denmark (Kingdom of Denmark),DK,238,04,,NextGen Mobile Ltd T/A CardBoardFish,Not operational,Unknown,MNC withdrawn
National,Denmark (Kingdom of Denmark),DK,238,05,TetraNet,Dansk Beredskabskommunikation A/S,Operational,TETRA,Former ApS KBUS 38 nr. 4418; owned by Motorola Solutions
National,Denmark (Kingdom of Denmark),DK,238,06,3,Hi3G Denmark ApS,Operational,UMTS 900 / UMTS 2100 / LTE 1800 / LTE 2600,
National,Denmark (Kingdom of Denmark),DK,238,07,Vectone Mobile,Mundio Mobile (Denmark) Limited,Not operational,MVNO,Former Barablu; MNC withdrawn
National,Denmark (Kingdom of Denmark),DK,238,08,Voxbone,Voxbone mobile,Operational,MVNO,Former Nordisk Mobiltelefon
National,Denmark (Kingdom of Denmark),DK,238,09,SINE,Dansk Beredskabskommunikation A/S,Operational,TETRA,Owned by Motorola Solutions
National,Denmark (Kingdom of Denmark),DK,238,10,TDC,TDC A/S,Operational,Unknown,Test network
National,Denmark (Kingdom of Denmark),DK,238,11,SINE,Dansk Beredskabskommunikation A/S,Operational,TETRA,Test network
National,Denmark (Kingdom of Denmark),DK,238,12,Lycamobile,Lycamobile Denmark Ltd,Operational,MVNO,
National,Denmark (Kingdom of Denmark),DK,238,13,,Compatel Limited,Unknown,Unknown,
National,Denmark (Kingdom of Denmark),DK,238,14,,Monty UK Global Limited,Unknown,Unknown,
National,Denmark (Kingdom of Denmark),DK,238,15,Net 1,Ice Danmark ApS,Operational,LTE 450,
National,Denmark (Kingdom of Denmark),DK,238,16,,Tismi B.V.,Unknown,Unknown,
National,Denmark (Kingdom of Denmark),DK,238,17,,Gotanet AB,Unknown,Unknown,Former Naka AG
National,Denmark (Kingdom of Denmark),DK,238,18,,Cubic Telecom,Unknown,Unknown,
National,Denmark (Kingdom of Denmark),DK,238,20,Telia,Telia,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,
National,Denmark (Kingdom of Denmark),DK,238,23,GSM-R DK,Banedanmark,Operational,GSM-R,
National,Denmark (Kingdom of Denmark),DK,238,25,Viahub,SMS Provider Corp.,Unknown,MVNO,
National,Denmark (Kingdom of Denmark),DK,238,28,,LINK Mobile A/S,Unknown,Unknown,Former CoolTEL ApS
National,Denmark (Kingdom of Denmark),DK,238,30,,Interactive digital media GmbH,Unknown,Unknown,Former Telia
National,Denmark (Kingdom of Denmark),DK,238,40,,Ericsson Danmark A/S,Not operational,Unknown,Test network; former Sense Communications Denmark A/S; MNC withdrawn
National,Denmark (Kingdom of Denmark),DK,238,42,,Greenwave Mobile IoT ApS,Unknown,Unknown,"Former Brandtel ApS, Tel42 ApS"
National,Denmark (Kingdom of Denmark),DK,238,43,,MobiWeb Limited,Not operational,Unknown,MNC withdrawn
National,Denmark (Kingdom of Denmark),DK,238,66,,TT-Netværket P/S,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,"Former Telia, now shared network Telia/Telenor"
National,Denmark (Kingdom of Denmark),DK,238,73,,Onomondo ApS,Unknown,Unknown,
National,Denmark (Kingdom of Denmark),DK,238,77,Telenor,Telenor Denmark,Operational,GSM 900 / GSM 1800,Former Tele2
National,Denmark (Kingdom of Denmark),DK,238,96,Telia,Telia Danmark,Unknown,Unknown,Test network
National,Estonia,EE,248,01,Telia,Telia Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Former EMT
National,Estonia,EE,248,02,Elisa,Elisa Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,
National,Estonia,EE,248,03,Tele2,Tele2 Eesti,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100 / LTE 2600,
National,Estonia,EE,248,04,Top Connect,OY Top Connect,Operational,MVNO,
National,Estonia,EE,248,05,,CSC Telecom Estonia OÜ,Unknown,Unknown,Former AS Bravocom Mobiil
National,Estonia,EE,248,06,,Progroup Holding,Not operational,UMTS 2100,MNC withdrawn
National,Estonia,EE,248,07,Kou,Televõrgu AS,Not operational,CDMA2000 450,Acquired by Tele 2 in 2012; shut down in January 2016
National,Estonia,EE,248,08,VIVEX,VIVEX OU,Not operational,MVNO,MNC withdrawn
National,Estonia,EE,248,09,,Bravo Telecom,Not operational,Unknown,MNC withdrawn
National,Estonia,EE,248,10,,Telcotrade OÜ,Not operational,Unknown,MNC withdrawn
National,Estonia,EE,248,11,,UAB Raystorm Eesti filiaal,Unknown,Unknown,
National,Estonia,EE,248,12,,Ntel Solutions OÜ,Unknown,Unknown,
National,Estonia,EE,248,13,,Telia Eesti AS,Unknown,Unknown,
National,Estonia,EE,248,14,,Estonian Crafts OÜ,Unknown,Unknown,
National,Estonia,EE,248,15,,Premium Net International S.R.L. Eesti filiaal,Not operational,Unknown,MNC withdrawn
National,Estonia,EE,248,16,dzinga,SmartTel Plus OÜ,Operational,MVNO,
National,Estonia,EE,248,17,,Baltergo OÜ,Unknown,Unknown,
National,Estonia,EE,248,71,,Siseministeerium (Ministry of Interior),Unknown,Unknown,
National,Faroe Islands (Kingdom of Denmark),FO,288,01,Føroya Tele,Føroya Tele,Operational,GSM 900 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,
National,Faroe Islands (Kingdom of Denmark),FO,288,02,Hey,Nema,Operational,GSM 900 / UMTS 2100 / LTE 1800,"Former Kall, also uses MCC 274 MNC 02 (Iceland)"
National,Faroe Islands (Kingdom of Denmark),FO,288,03,,Tosa Sp/F,Unknown,Unknown,Former Edge Mobile
National,Finland,FI,244,03,DNA,DNA Oy,Operational,GSM 1800,Former Telia
National,Finland,FI,244,04,DNA,DNA Oy,Unknown,Unknown,Former Aina Oyj
National,Finland,FI,244,05,Elisa,Elisa Oyj,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,Former Radiolinja
National,Finland,FI,244,06,Elisa,Elisa Oyj,Not operational,Unknown,MNC withdrawn
National,Finland,FI,244,07,Nokia,Nokia Solutions and Networks Oy,Operational,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2600 / TD-LTE 2600,Test network in Espoo Leppävaara and Nokia HQ
National,Finland,FI,244,08,Nokia,Nokia Solutions and Networks Oy,Unknown,GSM 1800 / UMTS 2100,
National,Finland,FI,244,09,,Nokia Solutions and Networks Oy,Unknown,GSM 900,Former Finnet Group
National,Finland,FI,244,10,,Traficom,Unknown,Unknown,Former TDC Oy Finland
National,Finland,FI,244,11,,Traficom,Unknown,Unknown,Former Vectone Mobile
National,Finland,FI,244,12,DNA,DNA Oy,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,
National,Finland,FI,244,13,DNA,DNA Oy,Not operational,GSM 900 / GSM 1800,
National,Finland,FI,244,14,Ålcom,Ålands Telekommunikation Ab,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800,Former Ålands Mobiltelefon (ÅMT); coverage only in Åland Islands
National,Finland,FI,244,15,,Telit Wireless Solutions GmbH,Unknown,Unknown,Former educational network of Satakunta University of Applied Sciences
National,Finland,FI,244,16,Tele2,Oy Finland Tele2 AB,Not operational,MVNO,MNC withdrawn
National,Finland,FI,244,17,,Liikennevirasto,Operational,GSM-R,Finnish Transport Agency
National,Finland,FI,244,20,,Telia Finland Oyj,Not operational,Unknown,MNC withdrawn
National,Finland,FI,244,21,Elisa- Saunalahti,Elisa Oyj,Operational,MVNO,Internal MVNO-code of Elisa Oyj. Former Saunalahti Group Oyj
National,Finland,FI,244,22,,EXFO Oy,Not operational,Unknown,Former NetHawk Oyj; MNC withdrawn
National,Finland,FI,244,23,,EXFO Oy,Not operational,Unknown,Former NetHawk Oyj; MNC withdrawn
National,Finland,FI,244,24,,TTY-säätiö,Not operational,Unknown,Tampere University of Technology foundation; MNC withdrawn
National,Finland,FI,244,25,,Fortum Power and Heat Oy,Unknown,Unknown,Former Datame Oy CDMA
National,Finland,FI,244,26,Compatel,Compatel Ltd,Operational,MVNO,
National,Finland,FI,244,27,,Teknologian tutkimuskeskus VTT Oy,Unknown,Unknown,VTT Technical Research Centre of Finland
National,Finland,FI,244,28,,Teknologian tutkimuskeskus VTT Oy,Unknown,Unknown,VTT Technical Research Centre of Finland
National,Finland,FI,244,29,,Teknologian tutkimuskeskus VTT Oy,Unknown,Unknown,Former SCNL Truphone; VTT Technical Research Centre of Finland
National,Finland,FI,244,30,,Teknologian tutkimuskeskus VTT Oy,Unknown,Unknown,Former Mundio Mobile Oy; VTT Technical Research Centre of Finland
National,Finland,FI,244,31,,Teknologian tutkimuskeskus VTT Oy,Unknown,Unknown,Former Ukko Mobile Oy; VTT Technical Research Centre of Finland
National,Finland,FI,244,32,Voxbone,Voxbone SA,Operational,MVNO,
National,Finland,FI,244,33,VIRVE,Suomen Virveverkko Oy,Operational,TETRA,Finnish authorities radio network
National,Finland,FI,244,34,Bittium Wireless,Bittium Wireless Oy,Operational,MVNO,
National,Finland,FI,244,35,Ukko Mobile,Ukkoverkot Oy,Operational,LTE 450 / TD-LTE 2600,data-only network
National,Finland,FI,244,36,Telia / DNA,Telia Finland Oyj / Suomen Yhteisverkko Oy,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,Joint mobile network in Northern and Eastern Finland areas
National,Finland,FI,244,37,Tismi,Tismi BV,Operational,MVNO,
National,Finland,FI,244,38,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test Network
National,Finland,FI,244,39,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test Network
National,Finland,FI,244,40,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test Network
National,Finland,FI,244,41,,Nokia Solutions and Networks Oy,Unknown,Unknown,Test Network
National,Finland,FI,244,42,,SMS Provider Corp.,Unknown,Unknown,
National,Finland,FI,244,43,,Telavox AB / Telavox Oy,Unknown,Unknown,
National,Finland,FI,244,44,,Turun ammattikorkeakoulu Oy,Unknown,Unknown,
National,Finland,FI,244,45,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network
National,Finland,FI,244,46,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network
National,Finland,FI,244,47,,Suomen Turvallisuusverkko Oy,Unknown,Unknown,Public safety network
National,Finland,FI,244,50,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,51,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,52,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,53,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,54,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,55,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,56,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,57,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,58,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,59,,Aalto-korkeakoulusäätiö sr,Unknown,Unknown,
National,Finland,FI,244,91,Telia,Telia Finland Oyj,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 800 / LTE 1800 / LTE 2600 / 5G 3500,Former Sonera
National,Finland,FI,244,92,Sonera,TeliaSonera Finland Oyj,Not operational,Unknown,MNC withdrawn
National,Finland,FI,244,99,,Oy L M Ericsson Ab,Unknown,Unknown,
National,France,FR,208,01,Orange,Orange S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 2600,
National,France,FR,208,02,Orange,Orange S.A.,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Zones Blanches
National,France,FR,208,03,MobiquiThings,MobiquiThings,Operational,MVNO,
National,France,FR,208,04,Sisteer,Societe d'ingenierie systeme telecom et reseaux,Operational,MVNO,
National,France,FR,208,05,,Globalstar Europe,Operational,Satellite,
National,France,FR,208,06,,Globalstar Europe,Operational,Satellite,
National,France,FR,208,07,,Globalstar Europe,Operational,Satellite,
National,France,FR,208,08,SFR,Altice,Operational,MVNO,Former Completel
National,France,FR,208,09,SFR,Altice,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,is launched for SFR outbound roaming services
National,France,FR,208,10,SFR,Altice,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 LTE 2600,MNC also used in Monaco
National,France,FR,208,11,SFR,Altice,Operational,UMTS 2100,Femtocells
National,France,FR,208,12,Truphone,Truphone France,Operational,MVNO,Former Hewlett-Packard France
National,France,FR,208,13,SFR,Altice,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,Zones Blanches
National,France,FR,208,14,SNCF Réseau,SNCF Réseau,Operational,GSM-R,
National,France,FR,208,15,Free Mobile,Iliad,Operational,UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2600,LTE bands 28 / 3 / 7
National,France,FR,208,16,Free Mobile,Iliad,Operational,UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2600,
National,France,FR,208,17,LEGOS,Local Exchange Global Operation Services,Unknown,Unknown,
National,France,FR,208,18,Voxbone,Voxbone mobile,Not operational,MVNO,MNC withdrawn
National,France,FR,208,19,,Haute-Garonne numérique,Operational,LTE,Former Altitude Infrastructure; fixed wireless
National,France,FR,208,20,Bouygues,Bouygues Telecom,Operational,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 700 / LTE 800 / LTE 1800 / LTE 2600,MNC also used in Monaco
National,France,FR,208,21,Bouygues,Bouygues Telecom,Unknown,GSM 900 / GSM 1800 / UMTS 2100 / UMTS 900,
National,France,FR,208,22,Transatel Mobile,Transatel,Unknown,MVNO,MVNE Uses Orange
National,France,FR,208,23,,Syndicat mixte ouvert Charente Numérique,Operational,TD-LTE,Former Omea Telecom (bought by SFR in 2014); fixed wireless
National,France,FR,208,24,MobiquiThings,MobiquiThings,Operational,MVNO,
National,France,FR,208,25,LycaMobile,LycaMobile,Operational,MVNO,
National,France,FR,208,26,NRJ Mobile,Euro-Information Telecom SAS,Operational,MVNO,"Uses SFR, Orange and Bouygues Telecom"
National,France,FR,208,27,,Coriolis Telecom,Operational,MVNO,Former Afone
National,France,FR,208,28,,Airbus Defence and Space SAS,Unknown,Unknown,
